temperature,humidity,gas_ppm,vibration,light_lux,condition
7.05,48.6,142.34,5.82,140.07,abnormal
5.9,57.22,219.47,0.24,147.47,normal
4.08,57.54,97.21,0.29,128.58,normal
2.26,42.68,166.37,0.24,147.23,normal
7.13,50.89,151.71,0.77,125.64,normal
7.48,45.9,168.61,0.38,100.98,normal
6.23,48.24,85.94,0.1,249.84,normal
7.69,52.69,114.81,0.54,213.63,normal
6.97,10.86,143.46,0.12,87.78,abnormal
2.01,49.81,116.38,0.26,147.32,normal
2.81,57.14,228.3,0.26,101.83,normal
2.7,55.1,119.09,0.32,92.28,normal
4.47,55.95,151.13,0.4,189.03,normal
7.16,52.53,197.65,0.0,673.7,abnormal
6.58,45.56,184.32,0.45,103.92,normal
7.77,42.24,200.18,0.83,203.38,normal
7.36,42.72,163.46,0.45,227.65,normal
7.81,56.12,243.18,0.99,207.77,normal
7.03,56.42,211.86,0.77,57.02,normal
3.25,50.08,168.86,0.07,148.68,normal
4.66,54.95,243.51,0.22,96.81,normal
6.57,48.99,221.0,0.09,193.49,normal
5.74,42.25,241.76,0.19,215.18,normal
11.86,42.55,102.65,0.26,83.37,abnormal
3.57,53.1,108.97,0.87,228.89,normal
6.34,47.12,158.51,0.01,201.59,normal
2.34,53.8,197.21,0.84,104.42,normal
2.96,47.42,212.73,0.84,178.65,normal
4.9,52.32,96.79,0.63,78.89,normal
5.26,49.31,179.85,0.74,144.93,normal
7.9,57.31,177.64,0.2,85.49,normal
4.98,45.97,104.51,0.29,103.0,normal
6.04,43.45,96.95,0.53,1121.86,abnormal
3.83,50.52,96.87,0.38,60.05,normal
5.28,48.97,190.98,0.06,235.99,normal
2.19,46.7,214.71,0.39,210.52,normal
2.42,47.21,149.58,0.54,56.24,normal
4.85,46.26,90.19,0.49,77.31,normal
7.79,40.52,676.84,0.62,67.9,abnormal
2.21,49.03,107.24,0.11,158.11,normal
2.25,50.19,230.38,0.66,149.12,normal
2.15,56.47,133.76,0.92,204.69,normal
6.75,59.98,98.86,0.17,211.55,normal
7.01,19.1,132.09,0.41,246.65,abnormal
3.35,46.03,225.66,0.93,76.35,normal
2.56,47.95,104.49,0.18,232.27,normal
2.49,59.09,235.36,0.66,53.4,normal
6.45,48.92,223.24,0.88,125.17,normal
6.05,48.41,186.34,0.32,94.93,normal
4.45,53.03,182.46,0.3,161.44,normal
2.8,58.96,220.62,0.36,1040.05,abnormal
2.22,42.12,177.75,0.11,241.02,normal
7.53,41.82,216.92,0.54,130.92,normal
3.71,52.13,171.1,0.41,145.79,normal
7.27,59.61,194.66,0.13,142.72,normal
15.0,45.38,157.55,0.02,199.84,abnormal
5.94,59.53,246.04,0.11,56.51,normal
7.08,42.61,154.32,0.04,130.73,normal
6.58,58.67,210.65,0.94,90.32,normal
6.38,42.56,113.55,0.33,96.09,normal
5.06,45.41,240.57,0.04,81.54,normal
7.79,48.2,126.63,0.19,192.88,normal
2.4,43.33,206.39,0.49,237.76,normal
2.09,58.05,80.25,0.21,93.56,normal
2.11,50.38,122.27,0.29,192.86,normal
3.44,42.22,80.82,0.52,164.35,normal
8.0,42.43,100.25,0.8,54.63,normal
2.55,51.35,206.04,2.61,97.02,abnormal
3.21,49.13,221.38,0.67,239.01,normal
4.76,54.33,87.6,0.01,209.03,normal
5.26,56.85,93.97,0.85,231.95,normal
8.0,47.77,86.91,0.02,169.35,normal
5.09,53.69,549.42,0.12,69.36,abnormal
7.72,41.65,96.34,0.88,113.67,normal
5.33,47.39,124.05,0.5,201.85,normal
2.9,75.36,188.11,0.8,182.95,abnormal
3.22,55.25,127.21,0.41,139.3,normal
5.45,51.94,128.18,0.89,104.67,normal
4.65,54.32,96.23,0.55,103.4,normal
2.1,42.79,210.9,0.91,187.74,normal
2.83,44.45,155.95,0.92,107.8,normal
7.77,47.82,85.73,0.35,227.45,normal
6.13,58.1,159.49,0.79,121.7,normal
3.87,29.02,117.79,1.0,53.48,abnormal
2.96,41.89,211.17,0.95,160.33,normal
5.29,53.73,239.51,0.63,207.26,normal
5.39,80.74,227.27,0.4,226.67,abnormal
5.61,44.38,124.97,0.41,60.76,normal
3.45,42.87,94.73,0.09,225.8,normal
0.9,42.54,204.95,0.93,135.44,abnormal
2.75,53.1,124.96,0.53,124.85,normal
4.58,55.03,118.15,0.81,228.24,normal
3.55,47.64,87.82,5.5,181.02,abnormal
4.51,14.38,187.78,0.38,243.28,abnormal
2.53,44.73,142.21,0.72,209.71,normal
3.85,56.91,124.11,0.35,1461.1,abnormal
8.0,50.7,107.74,0.32,70.31,normal
6.96,53.36,111.16,0.45,50.76,normal
4.51,56.18,238.94,0.93,206.63,normal
2.78,59.67,242.59,4.49,138.39,abnormal
5.27,50.21,223.53,5.16,108.69,abnormal
2.48,43.19,90.22,0.21,53.01,normal
7.6,56.13,131.56,0.57,248.68,normal
-3.59,57.28,217.99,0.31,111.45,abnormal
6.43,47.57,105.9,0.11,67.38,normal
4.6,45.06,205.5,0.36,121.38,normal
3.03,59.4,192.19,0.28,106.61,normal
6.6,42.02,200.74,0.49,89.11,normal
5.19,49.27,80.43,0.67,96.7,normal
6.06,55.78,165.08,0.86,211.26,normal
5.17,45.54,216.23,0.54,248.61,normal
7.2,40.37,223.95,0.82,248.59,normal
2.97,57.56,132.87,0.66,105.79,normal
3.12,57.26,100.14,0.4,112.19,normal
5.17,40.08,240.81,0.5,70.1,normal
7.23,47.7,247.87,0.2,62.5,normal
2.63,48.93,220.77,0.62,232.48,normal
2.54,45.52,239.52,0.21,233.8,normal
2.7,42.14,197.28,0.75,167.94,normal
5.91,48.3,212.71,0.1,176.07,normal
7.56,55.21,239.78,0.68,173.37,normal
2.31,50.15,96.75,0.65,219.08,normal
6.93,46.57,141.99,0.01,74.1,normal
4.63,44.47,170.12,0.71,54.53,normal
5.17,57.34,666.18,0.74,144.33,abnormal
5.59,41.12,118.54,0.11,133.1,normal
5.32,50.24,212.46,0.47,216.96,normal
3.22,51.91,208.89,0.63,126.84,normal
6.65,50.71,162.48,0.84,58.06,normal
7.18,57.99,404.18,0.8,159.41,abnormal
6.3,47.33,139.82,0.87,150.1,normal
5.91,53.38,129.84,0.8,76.99,normal
-4.03,56.48,146.42,0.04,248.66,abnormal
6.58,51.03,223.98,0.26,183.28,normal
6.81,53.64,140.61,0.44,188.02,normal
7.1,58.29,142.0,0.75,225.49,normal
3.93,54.72,222.58,0.89,214.69,normal
2.03,58.55,116.99,0.36,245.85,normal
5.14,45.16,212.9,0.28,711.88,abnormal
2.68,50.76,117.76,0.14,158.37,normal
2.4,40.47,131.24,0.11,135.02,normal
2.45,40.31,225.89,0.05,70.19,normal
4.86,17.29,217.28,0.55,127.63,abnormal
6.28,44.9,193.52,0.94,222.5,normal
5.3,41.87,135.39,0.82,226.09,normal
4.99,45.19,248.92,0.49,214.05,normal
4.55,59.18,134.41,0.25,117.39,normal
7.49,42.22,172.82,0.08,139.81,normal
6.84,42.68,180.69,0.77,149.55,normal
4.17,43.1,225.19,0.64,202.49,normal
4.77,44.54,145.17,0.15,207.35,normal
6.43,59.82,211.19,0.42,142.52,normal
4.15,48.83,84.64,0.2,215.38,normal
4.17,56.11,208.3,0.48,248.98,normal
4.89,54.45,116.81,0.49,111.38,normal
2.1,43.71,155.19,0.82,218.11,normal
3.95,49.18,110.78,0.05,162.52,normal
6.62,47.89,169.77,0.98,228.7,normal
5.1,46.01,87.77,0.42,100.13,normal
5.92,47.54,115.17,0.48,63.52,normal
3.24,46.77,203.53,0.97,130.18,normal
2.83,52.07,117.04,0.53,194.41,normal
5.64,48.13,194.21,0.03,102.65,normal
7.96,51.83,540.25,0.06,116.92,abnormal
3.41,40.12,214.0,0.69,238.72,normal
2.87,44.0,151.08,0.08,230.96,normal
4.7,59.03,212.01,0.31,186.36,normal
4.47,41.16,160.53,0.6,142.67,normal
4.07,43.18,224.59,0.59,222.53,normal
6.69,45.19,223.66,0.48,222.06,normal
2.78,54.57,110.64,0.71,85.09,normal
4.89,42.13,92.75,0.46,124.2,normal
5.64,29.37,98.12,0.16,205.89,abnormal
7.3,47.44,129.12,0.84,130.83,normal
2.19,43.51,97.61,0.42,165.72,normal
7.14,43.58,85.03,0.18,132.64,normal
6.77,40.28,998.13,0.89,86.88,abnormal
4.97,41.55,151.79,0.03,64.29,normal
7.32,40.39,116.73,1.0,130.01,normal
7.32,40.79,138.21,0.01,56.58,normal
3.25,48.27,158.0,0.25,105.93,normal
7.12,57.26,154.9,0.56,206.5,normal
3.45,51.1,171.79,0.96,56.5,normal
7.58,45.2,106.57,0.35,195.71,normal
5.3,42.17,182.62,0.74,94.97,normal
2.95,55.16,110.63,0.86,82.01,normal
6.93,44.44,190.88,0.3,204.48,normal
2.36,56.61,202.15,0.45,179.18,normal
4.72,43.32,189.57,0.36,91.08,normal
5.74,52.53,143.52,0.45,50.11,normal
3.81,10.06,207.19,0.99,200.71,abnormal
11.7,50.91,193.07,0.92,163.01,abnormal
-1.43,43.32,211.18,0.9,205.33,abnormal
3.43,40.65,124.04,4.29,56.92,abnormal
7.39,46.97,112.71,0.21,51.31,normal
4.15,40.81,217.63,0.91,211.07,normal
7.84,42.27,230.41,0.23,117.53,normal
6.31,57.95,118.43,0.4,150.86,normal
5.36,53.9,115.39,0.19,205.15,normal
2.97,57.0,147.0,0.16,135.35,normal
5.22,46.94,206.93,0.54,179.02,normal
6.99,55.77,207.95,0.09,225.94,normal
6.68,55.03,146.78,0.91,172.35,normal
7.71,42.36,121.26,0.5,89.62,normal
3.85,47.43,107.21,0.91,126.79,normal
7.2,52.82,176.28,0.9,118.38,normal
15.86,43.62,155.88,0.7,69.97,abnormal
6.34,42.56,152.0,0.95,144.69,normal
7.12,52.59,147.77,0.38,229.46,normal
2.15,52.42,100.48,0.81,95.71,normal
5.56,53.2,229.49,0.9,113.08,normal
2.37,43.32,98.0,0.35,96.05,normal
2.06,41.88,115.68,0.77,70.07,normal
3.8,53.32,88.39,0.85,147.02,normal
5.83,45.22,182.93,0.13,188.48,normal
2.79,59.41,165.29,0.24,213.73,normal
6.05,54.01,171.75,0.11,86.07,normal
13.03,50.85,163.75,0.43,176.81,abnormal
3.19,44.18,119.86,0.17,167.91,normal
4.13,47.16,184.98,0.06,118.06,normal
5.99,59.2,126.74,0.88,116.71,normal
6.71,54.7,170.17,0.83,158.3,normal
6.2,89.21,161.23,0.4,84.38,abnormal
3.6,49.65,191.94,0.78,122.48,normal
6.68,57.5,205.31,2.32,167.12,abnormal
2.95,43.67,139.56,0.75,156.66,normal
6.77,58.68,148.97,0.76,247.77,normal
5.31,43.77,209.28,0.88,179.22,normal
7.67,55.86,121.77,0.27,107.49,normal
5.56,55.76,182.93,0.66,128.88,normal
4.66,42.69,147.75,0.26,216.21,normal
7.03,59.26,141.42,0.19,63.35,normal
5.88,40.38,119.37,0.07,197.46,normal
3.32,47.41,114.13,0.62,76.89,normal
4.78,41.74,180.62,0.38,51.16,normal
7.79,58.64,104.41,0.49,57.45,normal
4.4,58.47,207.22,0.83,60.98,normal
2.78,45.63,200.48,4.85,120.8,abnormal
3.95,49.26,113.98,0.42,138.94,normal
2.88,44.46,98.93,0.98,227.21,normal
2.69,52.86,214.74,0.26,192.51,normal
2.82,79.0,96.85,0.35,229.99,abnormal
7.49,43.93,110.38,0.47,228.95,normal
4.86,48.4,236.16,0.03,221.73,normal
3.51,45.85,186.02,0.05,105.49,normal
2.42,46.56,137.83,0.51,138.28,normal
7.08,52.39,175.99,2.69,189.47,abnormal
3.01,51.21,155.7,0.27,103.46,normal
3.01,45.37,152.83,0.34,89.27,normal
5.44,48.97,209.35,0.01,121.79,normal
5.22,54.91,144.35,0.76,133.6,normal
3.69,49.35,113.64,0.43,191.22,normal
2.07,59.15,181.26,0.23,224.88,normal
3.88,54.84,125.55,0.09,195.22,normal
6.68,52.07,221.99,0.03,206.2,normal
2.47,53.44,88.48,0.49,179.51,normal
2.56,44.44,165.88,0.91,102.38,normal
2.31,54.55,94.0,0.75,218.65,normal
7.27,80.13,150.4,0.47,185.89,abnormal
3.4,51.07,217.55,0.96,63.43,normal
7.29,41.74,143.37,0.52,171.79,normal
2.36,49.06,237.17,0.17,218.62,normal
5.1,46.69,198.58,0.65,217.53,normal
3.74,44.72,150.02,0.88,56.65,normal
-0.76,48.88,235.52,0.59,99.13,abnormal
4.9,48.8,115.87,0.82,144.2,normal
7.43,50.96,103.06,0.73,134.13,normal
7.47,22.85,211.94,0.61,204.22,abnormal
5.88,48.62,117.07,0.76,185.25,normal
2.28,49.41,114.89,0.41,110.94,normal
6.18,53.87,227.64,0.5,146.32,normal
6.45,46.3,249.02,0.32,54.38,normal
3.82,42.76,220.83,0.69,61.74,normal
5.37,55.3,210.02,0.55,130.29,normal
2.18,47.82,111.76,0.06,63.95,normal
5.47,59.24,232.37,0.01,88.33,normal
5.49,55.33,166.52,0.62,184.58,normal
5.22,43.19,100.4,0.15,190.49,normal
3.22,56.09,158.82,3.83,232.88,abnormal
4.54,56.61,183.83,0.17,167.46,normal
3.24,53.91,171.05,0.95,96.88,normal
6.63,59.15,131.42,0.99,1101.5,abnormal
3.69,55.5,183.78,0.42,55.36,normal
3.08,52.34,219.32,0.44,50.4,normal
5.64,43.25,249.89,0.23,232.49,normal
3.67,55.73,217.99,0.7,206.56,normal
6.93,41.51,203.2,0.11,144.3,normal
13.86,47.54,188.95,0.66,185.56,abnormal
5.87,51.6,208.45,0.9,60.36,normal
7.11,57.65,178.76,0.72,78.38,normal
2.56,40.03,963.69,0.77,72.89,abnormal
5.59,43.12,187.24,0.04,225.97,normal
5.08,50.79,167.99,0.9,242.19,normal
2.96,43.0,108.15,0.95,160.05,normal
6.62,56.66,223.22,0.33,239.31,normal
2.12,42.95,166.3,0.58,117.78,normal
5.85,49.34,126.85,0.08,157.97,normal
5.55,42.25,181.97,0.89,221.72,normal
4.83,47.84,82.64,0.03,76.69,normal
5.75,49.13,188.05,0.8,248.85,normal
6.04,57.65,127.7,0.22,210.61,normal
5.91,52.84,136.78,0.52,214.26,normal
2.04,43.57,205.08,0.3,182.38,normal
3.79,53.15,143.57,0.41,53.71,normal
7.56,59.14,157.95,0.25,86.53,normal
4.71,56.46,956.11,0.06,172.01,abnormal
4.69,42.64,208.22,0.24,113.65,normal
3.85,47.04,117.79,0.76,755.84,abnormal
6.2,56.3,214.26,0.78,105.68,normal
3.46,48.0,199.29,0.84,229.77,normal
2.71,57.49,176.89,1.0,99.75,normal
7.63,48.0,105.89,0.2,75.43,normal
4.29,56.14,182.73,0.62,155.79,normal
2.44,47.46,132.77,0.82,243.56,normal
7.43,42.7,88.58,0.26,1104.83,abnormal
2.99,48.21,185.38,0.01,133.39,normal
4.72,58.63,179.18,0.18,228.51,normal
7.91,58.17,241.16,0.66,80.86,normal
6.75,54.68,548.77,0.32,160.57,abnormal
7.84,51.12,158.88,0.5,172.18,normal
6.69,40.25,100.64,0.25,84.53,normal
7.2,45.03,183.36,0.25,115.47,normal
6.48,59.52,181.91,0.15,75.21,normal
2.03,41.33,130.57,0.65,181.64,normal
4.39,56.8,203.14,0.94,241.32,normal
5.91,44.54,85.74,0.28,237.16,normal
3.8,40.33,167.82,0.57,114.28,normal
5.26,42.65,180.54,4.16,178.89,abnormal
4.3,43.2,213.6,0.94,77.09,normal
5.73,89.19,105.73,0.52,96.71,abnormal
2.19,58.65,248.87,0.43,238.48,normal
7.66,51.17,185.47,0.13,237.54,normal
6.66,58.42,246.43,2.14,247.55,abnormal
5.2,57.59,94.48,0.66,99.2,normal
5.69,18.18,239.2,0.43,116.64,abnormal
6.55,53.03,204.53,0.96,108.08,normal
3.49,93.79,163.43,0.12,82.67,abnormal
2.44,43.88,192.28,0.32,130.94,normal
4.98,49.92,189.2,0.07,248.12,normal
3.35,41.72,177.85,0.66,243.2,normal
4.0,52.44,222.09,0.6,64.2,normal
4.91,44.2,86.85,0.3,86.77,normal
7.98,45.5,156.25,0.55,50.02,normal
4.59,48.88,242.99,0.42,75.73,normal
7.92,58.46,230.43,0.69,144.09,normal
6.66,52.17,213.69,0.63,245.49,normal
7.12,59.5,95.27,0.7,242.2,normal
5.23,46.94,125.56,0.38,244.32,normal
6.88,51.17,140.18,0.0,119.26,normal
6.37,56.16,134.56,0.84,102.11,normal
5.71,53.38,122.31,0.67,234.37,normal
4.95,49.46,88.6,0.01,99.17,normal
2.08,46.23,231.77,0.12,105.26,normal
6.57,52.08,214.04,0.55,85.64,normal
2.14,44.18,145.05,0.77,203.44,normal
2.24,50.27,235.61,0.54,129.87,normal
7.83,54.87,192.21,0.53,512.45,abnormal
2.94,53.96,95.39,0.9,106.5,normal
5.6,57.34,202.8,0.34,133.5,normal
7.6,52.1,159.63,0.26,54.13,normal
17.62,56.81,162.85,0.51,242.99,abnormal
7.95,40.85,108.59,0.98,193.13,normal
5.69,50.82,202.89,0.69,227.15,normal
3.33,41.84,195.73,0.91,212.15,normal
2.58,50.74,174.1,0.56,118.58,normal
3.45,53.16,98.94,0.66,56.47,normal
6.1,59.76,104.95,3.25,170.12,abnormal
2.04,49.55,126.35,0.71,109.25,normal
7.75,41.13,170.41,0.89,204.52,normal
-4.52,55.01,129.18,0.75,214.57,abnormal
6.38,51.53,151.61,0.79,210.78,normal
0.24,43.6,135.54,0.76,125.19,abnormal
3.39,40.27,207.34,0.07,156.92,normal
4.24,56.26,234.23,0.01,231.37,normal
2.29,58.56,88.81,0.24,129.25,normal
6.98,47.42,101.98,0.53,178.21,normal
4.57,56.75,186.05,0.59,52.19,normal
2.26,42.37,108.03,0.81,97.45,normal
4.19,40.47,124.59,0.16,90.01,normal
4.23,49.35,181.57,2.93,72.42,abnormal
3.12,47.85,88.42,0.72,136.08,normal
7.8,46.98,218.5,0.49,109.06,normal
6.87,59.63,180.39,0.14,113.8,normal
7.78,45.63,128.5,0.33,152.76,normal
2.1,51.22,202.12,0.6,119.57,normal
3.27,57.73,223.7,0.76,129.63,normal
7.2,51.94,196.59,0.15,148.66,normal
3.89,48.15,82.05,0.97,131.68,normal
7.04,46.19,151.92,0.45,109.27,normal
-0.45,58.04,149.04,0.13,120.66,abnormal
5.02,75.54,143.66,0.2,50.87,abnormal
6.08,52.7,95.33,0.5,68.78,normal
4.08,48.8,90.51,0.13,101.13,normal
3.47,46.53,155.2,0.27,191.93,normal
6.47,44.28,195.6,0.32,1438.97,abnormal
2.33,54.45,473.86,0.93,65.99,abnormal
5.15,51.51,147.64,0.96,237.35,normal
5.48,18.59,146.02,0.12,97.01,abnormal
5.64,45.28,193.99,0.46,1046.94,abnormal
6.12,40.98,111.58,0.24,199.22,normal
4.84,54.62,172.15,0.24,51.2,normal
5.38,43.28,182.59,0.43,98.38,normal
6.9,53.8,182.63,0.48,207.23,normal
5.39,57.21,129.15,0.04,223.72,normal
3.44,78.28,147.11,0.8,242.83,abnormal
7.16,53.05,123.91,0.44,233.69,normal
6.25,44.48,170.94,0.34,78.14,normal
6.12,40.43,95.97,0.69,50.03,normal
3.13,55.22,109.78,0.28,77.66,normal
5.96,22.09,169.3,0.89,51.82,abnormal
3.99,46.42,94.3,0.84,188.01,normal
4.33,58.3,155.24,0.44,187.95,normal
3.21,59.19,101.13,0.0,216.47,normal
7.91,44.27,106.3,0.77,136.5,normal
6.67,58.27,163.77,0.47,93.67,normal
7.32,20.12,243.22,0.95,130.36,abnormal
4.87,58.51,155.3,0.21,122.3,normal
6.79,46.7,133.24,0.62,209.23,normal
3.73,54.56,86.39,0.47,191.61,normal
2.79,49.92,83.15,0.65,136.87,normal
4.2,43.34,157.09,0.14,163.83,normal
7.56,56.61,82.34,0.04,191.32,normal
5.05,59.64,187.83,0.79,238.77,normal
3.57,48.23,92.07,4.29,103.45,abnormal
5.87,44.18,168.86,0.22,167.41,normal
6.08,54.97,222.57,0.71,218.42,normal
2.46,51.97,200.03,0.43,167.86,normal
3.89,46.27,227.35,0.6,210.09,normal
6.94,55.5,154.21,0.22,76.36,normal
5.54,57.86,97.24,0.1,193.72,normal
7.61,50.67,190.66,0.66,232.05,normal
3.73,58.66,118.76,0.02,189.96,normal
4.7,54.83,247.91,0.88,77.49,normal
5.55,50.62,235.62,0.94,110.03,normal
7.57,43.23,147.61,0.46,150.8,normal
7.08,55.49,169.48,0.91,75.75,normal
5.86,52.98,89.83,0.66,244.51,normal
4.33,40.99,198.58,0.99,89.99,normal
5.45,47.4,132.01,0.75,164.99,normal
7.22,45.42,84.17,0.68,153.06,normal
5.74,51.35,215.45,0.19,185.65,normal
2.02,52.42,236.12,0.15,128.99,normal
7.04,41.19,229.61,0.42,126.84,normal
2.59,46.45,233.15,0.73,186.88,normal
3.67,49.99,237.55,0.95,114.49,normal
4.15,49.87,96.98,0.97,100.95,normal
2.03,41.05,169.04,0.34,207.38,normal
5.19,42.66,196.16,0.36,132.94,normal
3.95,43.08,231.6,0.86,102.0,normal
5.53,49.45,130.34,0.14,219.61,normal
5.18,58.24,249.68,0.02,205.11,normal
6.92,57.35,204.13,0.45,241.67,normal
2.27,52.44,217.68,0.27,233.26,normal
4.47,43.47,215.54,0.33,59.7,normal
5.21,40.61,183.48,0.87,199.34,normal
6.01,40.24,210.93,0.64,214.73,normal
4.91,56.89,219.62,0.58,147.4,normal
7.94,86.1,98.62,0.36,171.88,abnormal
3.79,58.29,158.89,0.35,204.01,normal
4.95,59.76,245.53,0.01,114.37,normal
7.72,51.46,195.06,0.89,166.9,normal
5.29,42.81,247.04,0.0,193.45,normal
2.88,57.44,225.62,0.8,243.89,normal
5.18,59.5,103.79,0.52,172.1,normal
3.15,16.24,86.95,0.1,198.82,abnormal
4.83,50.65,158.25,0.61,241.13,normal
3.85,50.27,152.31,0.27,231.81,normal
2.95,40.07,168.74,0.72,217.82,normal
5.85,57.48,198.38,0.81,105.29,normal
2.96,52.93,117.36,0.97,135.87,normal
4.16,50.97,201.79,0.76,83.15,normal
4.88,58.56,115.66,0.85,138.69,normal
4.3,43.64,180.36,0.66,178.45,normal
4.23,59.63,170.04,0.89,202.87,normal
5.0,45.9,104.94,0.38,122.36,normal
3.87,52.46,180.93,0.02,134.08,normal
2.8,54.5,117.41,0.47,140.06,normal
5.48,59.61,230.26,0.23,185.86,normal
2.22,56.25,209.69,0.43,214.78,normal
5.25,52.76,89.46,0.89,780.57,abnormal
4.68,46.46,124.11,0.63,139.03,normal
3.88,51.87,93.16,0.82,222.98,normal
6.11,56.86,207.32,0.46,63.26,normal
3.92,52.05,174.83,0.3,151.99,normal
6.27,47.81,148.85,0.55,151.11,normal
4.66,44.11,83.89,0.16,53.38,normal
2.48,44.76,147.86,0.11,72.9,normal
6.01,40.56,224.45,0.74,159.44,normal
2.6,58.57,190.0,0.54,178.72,normal
6.57,50.21,102.75,5.23,179.77,abnormal
7.49,47.76,209.27,0.97,57.33,normal
4.73,42.64,161.78,0.15,160.97,normal
5.64,44.62,126.73,0.71,182.55,normal
3.82,58.04,236.62,0.24,816.18,abnormal
3.97,50.22,150.34,0.52,195.92,normal
7.85,46.77,197.39,0.01,147.37,normal
2.61,43.42,216.92,0.9,93.6,normal
4.04,40.85,223.51,0.32,185.22,normal
2.76,41.87,161.33,0.6,225.43,normal
3.64,56.44,124.78,0.31,246.37,normal
2.63,41.53,90.86,0.89,240.19,normal
6.21,55.05,239.16,0.98,208.66,normal
-2.6,59.81,99.35,0.63,128.71,abnormal
5.61,54.87,749.67,0.44,224.54,abnormal
5.23,57.47,104.16,0.64,110.51,normal
3.6,48.53,129.63,0.41,144.61,normal
2.15,55.23,119.42,0.77,195.13,normal
3.79,40.43,153.44,0.94,172.63,normal
6.55,50.12,115.41,0.12,166.46,normal
4.72,58.34,182.24,0.7,79.46,normal
2.63,47.87,175.13,0.74,192.13,normal
6.98,46.63,142.61,0.71,110.86,normal
6.93,44.53,131.01,0.38,248.53,normal
5.3,52.54,123.23,0.25,136.57,normal
7.68,58.21,130.98,0.79,219.31,normal
4.33,54.54,138.71,0.63,121.35,normal
2.49,52.54,125.51,0.93,235.82,normal
2.38,40.06,82.23,0.16,83.12,normal
2.56,51.29,92.21,0.83,107.34,normal
-0.27,46.0,126.49,0.48,189.81,abnormal
5.54,56.35,114.58,0.49,139.95,normal
7.98,51.83,202.22,0.13,131.01,normal
7.98,59.42,211.01,0.03,80.31,normal
4.09,58.66,85.03,0.73,1085.14,abnormal
3.12,51.16,112.06,0.38,141.94,normal
4.27,48.31,154.04,0.08,77.91,normal
4.36,44.81,109.56,0.95,56.41,normal
7.03,42.67,198.82,0.22,172.74,normal
2.43,59.77,203.28,0.97,160.75,normal
4.15,24.81,95.94,0.86,172.85,abnormal
5.81,45.52,148.61,0.27,55.38,normal
3.47,57.17,90.65,0.3,129.09,normal
7.29,42.8,217.53,0.81,72.01,normal
4.94,42.56,117.09,0.57,206.46,normal
7.43,47.63,184.1,0.33,166.53,normal
3.1,53.71,143.86,0.88,212.38,normal
2.27,44.33,225.91,0.79,212.87,normal
7.84,54.86,136.87,0.06,194.4,normal
7.62,59.37,212.51,0.93,101.16,normal
4.89,43.61,234.8,0.23,50.16,normal
3.45,44.67,122.96,0.36,125.59,normal
2.5,53.73,129.71,0.83,79.76,normal
3.56,55.63,157.86,0.52,167.93,normal
2.38,57.5,81.37,0.01,114.45,normal
4.97,48.71,96.11,0.19,189.67,normal
5.01,41.2,202.92,0.54,243.01,normal
3.24,41.69,95.66,0.06,95.77,normal
4.48,52.63,240.7,0.01,209.69,normal
4.74,40.91,194.14,0.63,114.02,normal
3.98,49.08,88.99,0.64,180.34,normal
7.18,56.44,191.61,0.24,211.73,normal
7.65,43.58,206.32,0.01,56.65,normal
2.33,59.18,153.4,0.34,179.41,normal
2.11,46.53,221.26,0.17,1240.9,abnormal
6.73,40.55,149.51,0.04,113.01,normal
6.43,51.33,83.25,0.98,130.36,normal
0.09,50.39,101.88,0.85,105.58,abnormal
3.92,57.38,179.81,0.18,85.22,normal
2.84,40.55,243.35,0.74,201.5,normal
17.58,45.12,132.15,0.22,70.21,abnormal
3.05,43.63,144.4,0.97,209.32,normal
6.4,45.08,221.51,0.41,106.66,normal
3.83,50.01,130.73,0.8,171.88,normal
2.03,45.27,167.04,0.43,103.52,normal
6.38,51.67,140.62,0.44,140.76,normal
5.75,57.34,121.23,0.66,160.03,normal
3.06,49.44,119.45,0.4,204.88,normal
3.07,47.67,243.17,0.37,116.5,normal
4.93,92.94,243.28,0.37,99.26,abnormal
2.36,58.32,150.8,0.11,144.55,normal
-3.5,56.98,198.65,0.16,225.63,abnormal
7.69,58.48,146.95,0.72,183.38,normal
5.37,53.97,198.95,0.41,202.38,normal
5.31,46.78,549.9,0.29,225.49,abnormal
7.94,49.88,180.71,0.3,117.75,normal
5.85,57.27,198.63,0.42,89.3,normal
7.59,46.48,116.13,0.66,132.16,normal
6.49,44.93,178.22,0.41,70.25,normal
2.88,51.31,180.34,0.24,171.68,normal
6.72,41.54,457.71,0.86,184.76,abnormal
2.61,57.94,167.6,0.2,142.38,normal
2.14,56.13,160.58,0.38,144.31,normal
6.98,40.08,96.22,0.54,134.72,normal
5.32,54.23,174.51,0.14,196.38,normal
2.71,59.58,246.44,0.4,89.29,normal
6.7,48.84,111.27,0.64,217.67,normal
7.95,52.66,146.06,0.7,118.89,normal
7.5,43.83,98.51,0.14,236.15,normal
5.78,46.01,529.14,0.82,102.45,abnormal
19.93,42.2,189.15,0.7,126.65,abnormal
4.76,52.41,156.75,0.67,132.34,normal
-3.69,44.41,98.86,0.1,127.93,abnormal
6.71,51.42,99.31,0.78,99.38,normal
6.39,40.68,208.24,0.19,96.32,normal
-2.14,53.32,221.65,0.66,91.02,abnormal
5.2,42.01,87.75,0.56,209.43,normal
6.37,59.1,227.05,0.49,93.3,normal
3.51,50.89,97.63,0.01,106.59,normal
