temperature,humidity,gas_ppm,vibration,condition
5.75,65.8,335.73,0.9,normal
4.5,81.86,210.23,1.18,normal
2.29,79.15,255.08,1.44,normal
5.15,68.19,258.62,0.61,normal
5.53,78.27,216.21,0.44,normal
4.12,84.93,1076.58,1.47,abnormal
4.68,73.91,330.9,0.92,normal
5.84,78.65,214.19,1.37,normal
3.03,49.48,154.94,0.78,abnormal
4.06,75.17,247.36,0.44,normal
3.28,66.65,169.19,1.46,normal
4.13,77.54,192.16,0.94,normal
4.74,81.71,191.12,1.24,normal
5.1,77.93,337.95,6.73,abnormal
3.84,71.63,167.5,0.08,normal
4.23,76.5,195.53,0.39,normal
4.52,73.66,153.38,1.01,normal
4.57,77.37,301.19,0.88,normal
2.29,83.56,171.23,1.18,normal
2.35,80.31,237.54,0.59,normal
3.9,75.67,177.28,0.59,normal
4.18,84.2,178.82,1.02,normal
4.59,84.15,152.23,7.37,abnormal
2.17,76.45,228.82,0.82,normal
2.84,79.83,295.19,0.32,normal
2.57,68.68,931.82,0.38,abnormal
4.68,76.35,160.88,1.13,normal
3.85,75.99,703.46,0.1,abnormal
4.9,74.74,216.17,0.19,normal
2.4,77.39,330.02,0.48,normal
4.47,71.11,266.83,0.85,normal
3.27,73.57,150.97,0.37,normal
4.96,73.72,318.02,0.2,normal
5.51,74.26,221.75,0.46,normal
2.7,77.13,318.36,1.29,normal
4.15,70.26,327.27,0.11,normal
2.07,75.14,156.24,0.87,normal
4.36,83.13,260.32,0.82,normal
4.62,37.97,228.5,1.34,abnormal
5.43,67.68,250.22,0.14,normal
2.04,69.78,342.8,1.47,normal
5.03,67.81,181.84,0.85,normal
5.49,67.92,296.4,1.41,normal
5.05,69.63,202.87,0.35,normal
4.07,80.83,227.62,1.38,normal
14.86,71.48,290.75,0.78,abnormal
3.05,75.89,184.77,6.27,abnormal
4.61,81.71,253.33,0.56,normal
3.62,81.34,741.52,1.19,abnormal
11.51,67.78,183.12,0.12,abnormal
2.85,68.74,222.44,1.08,normal
2.92,81.22,294.05,0.72,normal
2.84,68.22,316.67,0.03,normal
4.29,68.22,275.91,0.06,normal
2.22,70.17,186.01,1.44,normal
4.25,65.37,293.91,0.99,normal
2.34,73.98,348.56,1.3,normal
5.32,77.02,308.92,1.23,normal
4.64,70.29,294.84,0.51,normal
4.36,69.6,227.09,0.16,normal
5.44,75.09,233.96,0.22,normal
3.9,77.29,157.81,1.18,normal
2.47,74.64,176.07,0.91,normal
4.6,75.44,224.08,3.22,abnormal
2.92,81.05,307.91,0.57,normal
4.97,80.23,289.34,0.15,normal
3.91,69.65,321.81,0.42,normal
3.03,35.11,298.73,0.01,abnormal
4.08,72.5,191.08,1.21,normal
2.43,73.52,267.07,0.39,normal
4.26,77.24,348.36,0.6,normal
4.21,76.15,185.74,0.84,normal
5.95,76.55,304.84,0.6,normal
5.46,67.38,195.95,1.17,normal
9.5,73.01,217.69,0.83,abnormal
4.83,68.21,342.91,0.01,normal
2.58,83.52,237.08,0.1,normal
2.32,65.76,226.87,1.48,normal
4.08,79.23,269.49,1.42,normal
3.98,65.21,320.11,7.65,abnormal
2.78,80.68,252.11,1.05,normal
4.7,72.19,281.0,1.46,normal
3.1,72.99,283.93,0.61,normal
2.06,79.07,333.84,0.82,normal
4.24,76.66,219.5,1.22,normal
5.85,74.1,230.79,0.01,normal
4.02,76.17,250.63,0.51,normal
4.05,70.15,257.58,1.19,normal
3.77,72.54,246.73,0.36,normal
5.1,78.63,329.3,1.29,normal
3.03,72.65,307.73,0.33,normal
5.2,73.25,220.62,0.8,normal
3.05,70.75,229.79,1.12,normal
4.22,68.57,212.77,0.33,normal
2.73,79.92,336.05,0.29,normal
2.94,69.84,203.08,0.34,normal
3.42,80.58,583.91,0.12,abnormal
4.46,50.28,258.29,0.06,abnormal
4.48,74.85,347.07,1.35,normal
2.73,50.29,252.23,0.6,abnormal
2.51,75.51,234.64,1.41,normal
3.39,82.21,305.18,0.69,normal
4.07,71.31,151.68,1.01,normal
2.4,72.23,322.37,0.28,normal
3.08,84.17,218.62,0.28,normal
3.68,80.04,223.02,0.6,normal
4.29,84.59,287.2,1.22,normal
5.22,76.11,321.26,0.29,normal
4.95,74.46,151.95,0.63,normal
5.57,77.61,256.8,0.47,normal
3.0,82.17,159.54,0.15,normal
2.86,70.09,317.79,0.14,normal
3.04,72.21,261.5,1.22,normal
3.65,72.02,285.92,0.91,normal
4.6,75.77,345.87,0.43,normal
4.04,80.49,239.39,0.12,normal
3.86,84.13,323.65,0.96,normal
4.53,46.43,319.78,0.11,abnormal
2.91,71.34,208.27,0.4,normal
3.08,73.9,322.56,0.54,normal
5.86,73.28,186.78,0.03,normal
4.65,83.81,290.14,0.12,normal
2.41,66.28,325.74,0.82,normal
3.59,80.3,166.65,0.39,normal
4.62,82.71,211.87,0.37,normal
4.51,67.63,317.7,0.04,normal
5.44,71.5,245.23,1.46,normal
3.09,73.9,343.91,1.05,normal
4.39,77.62,277.17,0.85,normal
4.56,71.19,219.43,0.81,normal
3.77,72.32,201.96,0.46,normal
5.26,81.96,218.78,0.7,normal
5.69,83.94,245.41,0.01,normal
3.17,69.62,151.44,0.56,normal
4.24,72.9,182.65,1.11,normal
3.51,70.26,234.45,0.36,normal
5.64,81.15,286.93,0.43,normal
5.24,73.26,320.7,0.27,normal
4.55,77.35,204.43,0.93,normal
2.08,65.99,256.99,0.28,normal
3.08,79.3,295.42,0.35,normal
3.97,71.84,212.32,1.2,normal
4.79,35.63,166.04,1.13,abnormal
3.07,72.85,258.64,0.27,normal
5.27,98.28,174.39,1.15,abnormal
5.08,73.86,297.52,0.05,normal
5.08,75.42,346.42,0.71,normal
3.25,71.46,275.83,0.06,normal
2.49,74.62,709.17,0.54,abnormal
4.67,84.47,197.19,0.65,normal
5.18,76.69,229.16,0.36,normal
5.13,74.51,917.35,0.56,abnormal
2.63,66.83,273.73,1.4,normal
2.24,72.11,180.78,5.68,abnormal
3.95,71.33,261.67,0.97,normal
5.57,79.66,154.27,0.57,normal
3.0,65.79,291.33,0.84,normal
3.96,76.33,258.72,0.49,normal
5.47,76.97,322.11,0.24,normal
3.8,81.39,258.32,0.68,normal
4.02,79.67,326.59,0.93,normal
4.48,71.41,162.67,1.45,normal
2.76,78.66,303.15,0.23,normal
3.64,71.44,169.25,0.99,normal
5.75,68.57,156.25,0.16,normal
2.13,77.84,227.72,0.73,normal
4.36,65.98,194.14,1.08,normal
5.68,78.11,335.68,1.25,normal
4.56,72.22,298.7,1.34,normal
2.23,77.34,255.8,6.67,abnormal
14.61,84.21,169.42,1.09,abnormal
2.76,75.52,199.75,0.94,normal
5.0,73.3,171.1,0.96,normal
3.83,78.3,326.56,0.25,normal
3.61,71.75,181.64,1.5,normal
3.41,71.3,348.29,0.49,normal
5.06,73.61,295.17,0.91,normal
2.86,80.31,335.23,0.38,normal
5.84,35.0,156.93,0.43,abnormal
2.54,82.81,151.31,1.48,normal
3.26,80.43,338.67,1.23,normal
4.23,83.52,608.3,0.06,abnormal
2.55,72.34,266.43,0.35,normal
2.37,73.0,333.58,1.1,normal
5.17,68.46,315.14,1.03,normal
5.63,76.9,210.08,1.1,normal
2.31,66.12,304.18,0.52,normal
3.67,82.36,323.96,0.34,normal
4.41,65.23,305.48,0.57,normal
2.16,75.8,179.92,0.75,normal
2.2,79.63,228.58,0.67,normal
4.02,69.44,207.96,0.59,normal
2.33,76.43,159.86,0.6,normal
4.01,80.48,176.08,0.2,normal
3.95,78.04,189.22,0.92,normal
2.98,66.43,305.35,0.49,normal
8.79,73.27,223.05,0.29,abnormal
4.62,80.39,183.85,0.52,normal
4.49,43.81,334.84,0.35,abnormal
2.62,79.57,167.16,1.11,normal
4.48,67.95,316.49,0.43,normal
5.22,71.1,244.24,0.5,normal
2.85,75.93,300.07,0.82,normal
5.97,78.9,283.65,0.56,normal
2.17,68.41,698.81,1.18,abnormal
2.21,78.1,151.67,0.58,normal
5.41,78.2,322.86,0.03,normal
3.55,84.6,251.71,6.55,abnormal
5.47,45.63,187.28,0.75,abnormal
5.71,65.43,199.48,0.79,normal
3.57,68.14,219.36,0.53,normal
2.94,84.56,250.25,1.22,normal
5.51,82.81,312.97,0.04,normal
3.12,68.03,329.44,0.99,normal
3.53,84.21,272.49,0.94,normal
2.96,68.05,344.11,1.36,normal
4.17,69.14,177.72,0.81,normal
5.45,71.18,291.03,0.79,normal
5.98,84.52,179.03,1.4,normal
2.27,95.33,293.89,0.28,abnormal
0.18,80.31,326.03,0.62,abnormal
3.77,83.68,328.83,1.4,normal
5.12,67.14,186.95,1.14,normal
3.07,76.34,196.18,0.35,normal
3.44,78.76,245.32,0.75,normal
4.85,72.48,320.43,0.74,normal
2.77,65.64,302.91,0.02,normal
3.65,79.85,347.65,1.14,normal
5.71,84.71,323.43,0.73,normal
3.83,69.94,230.97,0.06,normal
3.52,71.26,272.3,1.11,normal
4.1,82.52,307.38,0.78,normal
5.31,65.85,349.17,0.78,normal
4.94,76.15,253.23,0.95,normal
3.16,72.96,210.91,1.24,normal
3.69,77.26,160.91,0.78,normal
5.32,74.03,294.53,0.17,normal
5.75,78.92,177.06,0.62,normal
2.72,76.81,292.53,0.3,normal
3.0,78.83,331.43,1.19,normal
2.49,67.28,239.88,0.54,normal
3.54,80.82,252.33,1.42,normal
3.52,80.37,332.45,0.85,normal
2.6,82.38,185.77,1.07,normal
3.24,80.37,239.25,0.94,normal
2.53,69.06,274.51,0.38,normal
5.42,75.87,151.15,1.32,normal
4.36,74.51,232.03,0.12,normal
2.98,75.95,273.95,0.84,normal
9.29,66.1,219.8,0.22,abnormal
4.31,77.07,216.22,0.13,normal
5.97,68.23,206.88,0.99,normal
4.29,76.24,343.26,1.12,normal
2.14,80.37,214.56,1.35,normal
5.37,36.3,244.16,0.18,abnormal
4.11,95.25,289.17,0.92,abnormal
4.92,77.58,347.44,0.73,normal
5.74,84.73,207.44,0.91,normal
4.1,84.9,220.77,0.19,normal
4.08,77.64,248.5,0.27,normal
4.83,84.59,150.32,0.04,normal
2.47,81.96,309.91,1.5,normal
3.34,76.21,277.5,0.02,normal
3.13,80.8,211.55,0.76,normal
2.02,78.72,218.27,1.09,normal
2.12,68.51,216.1,0.51,normal
5.66,80.95,279.13,0.72,normal
5.57,75.74,217.02,1.18,normal
4.97,81.7,209.87,1.09,normal
4.14,69.17,287.1,1.2,normal
2.26,91.49,318.15,0.51,abnormal
4.14,68.32,271.14,0.28,normal
5.13,71.17,321.56,1.06,normal
2.35,82.54,224.32,1.24,normal
4.1,68.5,224.84,0.06,normal
2.37,75.12,309.81,1.36,normal
3.36,74.67,324.78,0.47,normal
5.08,66.97,346.45,0.77,normal
0.17,74.19,292.74,0.78,abnormal
5.73,78.74,268.86,0.13,normal
2.18,75.41,281.8,0.47,normal
3.25,82.84,214.18,0.29,normal
3.28,73.82,173.53,0.22,normal
2.06,77.46,252.81,0.31,normal
3.27,67.83,290.87,0.42,normal
2.28,77.27,217.75,0.67,normal
3.88,78.51,171.19,0.08,normal
2.72,76.92,268.55,1.25,normal
4.47,71.25,313.49,1.07,normal
4.13,84.47,301.15,0.7,normal
5.25,83.39,243.66,0.68,normal
4.84,74.31,196.34,0.34,normal
3.03,72.27,628.35,1.38,abnormal
5.44,71.5,247.5,0.1,normal
3.91,81.92,206.45,0.52,normal
4.03,73.11,292.85,0.16,normal
2.28,71.04,242.19,0.89,normal
2.97,68.18,246.47,0.1,normal
4.78,73.62,346.04,0.85,normal
4.78,68.46,283.92,1.11,normal
5.35,67.29,269.22,0.49,normal
3.78,71.16,231.16,0.9,normal
4.39,81.4,215.48,0.97,normal
2.87,67.78,266.15,1.13,normal
5.03,78.22,240.59,0.44,normal
3.79,69.11,325.49,0.45,normal
4.72,83.37,337.34,1.08,normal
12.08,77.23,252.08,1.27,abnormal
10.58,75.98,160.63,1.06,abnormal
2.44,92.82,156.24,0.65,abnormal
4.5,79.24,231.21,0.65,normal
2.69,67.78,261.08,1.26,normal
3.67,70.77,324.55,0.19,normal
4.59,67.88,326.98,0.99,normal
-1.75,77.84,233.17,0.68,abnormal
4.42,73.51,185.96,0.76,normal
3.8,72.11,187.16,0.91,normal
5.39,69.73,250.35,0.62,normal
3.47,84.56,263.63,1.06,normal
3.93,78.81,178.42,1.1,normal
3.86,90.78,327.98,0.13,abnormal
4.97,84.21,165.62,0.95,normal
3.25,66.06,218.71,1.17,normal
4.05,74.38,296.76,0.63,normal
3.16,90.35,334.57,1.12,abnormal
4.25,66.23,244.63,0.25,normal
5.96,81.18,274.86,0.43,normal
4.02,82.03,205.57,0.2,normal
5.43,65.28,172.31,0.26,normal
2.6,73.93,311.57,0.39,normal
3.94,80.99,322.4,0.51,normal
2.58,83.68,180.83,0.74,normal
2.95,43.8,277.51,0.32,abnormal
3.38,77.85,301.1,0.17,normal
3.59,71.03,299.23,1.13,normal
3.52,79.11,244.92,0.22,normal
10.02,80.95,226.4,0.47,abnormal
5.82,66.95,256.26,0.53,normal
5.67,82.17,734.48,0.4,abnormal
4.62,72.82,304.63,1.12,normal
4.35,68.9,217.48,1.04,normal
4.19,78.46,316.34,0.02,normal
2.42,73.92,193.88,0.42,normal
2.09,66.84,337.7,0.98,normal
4.55,79.16,583.98,1.28,abnormal
4.63,83.0,263.21,1.45,normal
2.74,70.89,282.1,3.38,abnormal
5.98,80.39,288.44,1.0,normal
3.03,80.61,205.46,0.09,normal
5.98,70.16,312.56,0.27,normal
5.92,69.01,228.53,0.97,normal
4.16,73.63,272.79,0.16,normal
3.04,65.7,164.08,1.09,normal
2.08,74.95,280.57,0.0,normal
3.56,68.03,215.97,0.59,normal
4.83,80.42,245.63,0.61,normal
5.25,66.4,195.17,0.58,normal
5.12,67.42,257.06,1.49,normal
3.21,66.1,349.4,0.97,normal
5.41,71.8,318.24,1.14,normal
2.81,76.09,343.5,0.99,normal
3.56,67.14,287.77,0.73,normal
4.94,37.8,188.62,1.08,abnormal
3.96,66.26,258.11,0.46,normal
5.34,73.99,349.17,0.06,normal
5.15,65.86,173.64,1.21,normal
3.83,78.56,324.85,0.22,normal
5.7,65.74,178.32,0.98,normal
5.67,65.92,290.26,0.2,normal
2.2,71.15,308.74,0.68,normal
4.36,81.36,171.27,0.75,normal
2.88,81.09,235.24,1.22,normal
3.61,67.42,286.82,5.73,abnormal
5.86,69.26,159.12,0.26,normal
3.1,80.15,183.61,0.55,normal
2.97,76.64,176.67,1.19,normal
3.5,68.16,325.93,0.12,normal
5.7,79.13,268.75,0.43,normal
5.17,74.52,175.38,0.21,normal
3.8,69.79,184.91,1.04,normal
4.87,77.24,167.6,1.24,normal
3.68,76.15,188.38,1.48,normal
3.45,80.22,877.81,0.33,abnormal
4.64,70.53,188.74,1.19,normal
5.87,74.49,185.26,1.01,normal
4.58,70.7,236.93,0.5,normal
5.03,65.87,298.08,1.39,normal
5.14,74.7,173.21,1.34,normal
4.37,71.52,189.75,1.02,normal
5.12,71.52,169.61,1.11,normal
5.57,36.47,267.02,0.08,abnormal
2.86,77.19,185.61,0.56,normal
2.78,72.17,203.94,0.5,normal
4.27,70.61,172.22,0.7,normal
5.04,69.4,209.03,0.24,normal
5.81,83.11,265.62,0.83,normal
3.65,75.44,322.44,0.32,normal
3.85,65.29,235.62,1.31,normal
3.74,69.45,335.5,1.42,normal
10.92,65.88,348.25,1.1,abnormal
3.7,72.89,311.94,1.04,normal
3.98,66.66,300.62,1.04,normal
2.87,72.17,197.81,1.5,normal
4.68,68.24,241.86,0.86,normal
5.91,74.28,177.72,1.05,normal
5.49,77.54,290.78,0.0,normal
3.54,78.82,256.18,0.44,normal
4.79,77.25,265.05,0.31,normal
4.48,71.71,336.45,0.77,normal
5.55,91.11,223.12,0.93,abnormal
2.7,76.18,163.4,1.06,normal
5.93,69.77,172.71,0.72,normal
5.48,79.06,1027.22,1.14,abnormal
5.59,75.07,234.59,0.08,normal
3.81,75.03,315.91,0.71,normal
5.3,82.99,240.4,0.55,normal
4.77,84.56,326.63,0.28,normal
8.56,82.96,207.67,1.43,abnormal
3.1,78.94,249.27,1.31,normal
4.51,70.86,343.91,0.81,normal
3.39,73.88,278.94,0.44,normal
5.49,69.65,339.49,0.97,normal
3.37,77.92,215.26,0.89,normal
5.37,73.91,210.82,0.2,normal
2.69,70.2,246.85,1.46,normal
2.19,72.06,241.19,0.25,normal
4.14,68.65,185.07,6.54,abnormal
-1.52,67.34,348.75,0.86,abnormal
3.48,69.1,291.43,1.0,normal
-0.88,75.8,182.52,0.45,abnormal
5.72,50.37,339.56,1.39,abnormal
5.88,75.92,251.48,0.97,normal
5.58,84.39,300.83,1.49,normal
5.2,79.57,334.46,0.51,normal
3.92,65.8,285.6,0.18,normal
4.47,69.41,221.48,0.49,normal
2.78,75.53,306.26,1.15,normal
2.33,81.99,285.41,1.44,normal
2.78,41.36,271.02,1.42,abnormal
3.59,97.16,235.53,0.58,abnormal
3.38,71.16,239.12,0.84,normal
5.55,79.83,233.12,0.66,normal
4.91,82.95,295.72,0.62,normal
2.34,69.16,832.23,1.3,abnormal
14.53,76.81,225.15,0.01,abnormal
3.09,68.5,242.42,0.85,normal
-1.44,72.64,260.77,0.06,abnormal
3.22,76.19,824.42,0.04,abnormal
3.05,84.12,316.85,0.71,normal
5.57,73.34,248.38,1.03,normal
2.48,70.54,348.87,0.1,normal
4.32,76.31,323.67,0.94,normal
4.78,67.39,252.51,0.86,normal
-0.26,67.92,242.21,1.04,abnormal
2.21,72.22,277.25,1.43,normal
3.17,77.78,165.37,0.29,normal
5.06,76.98,183.43,0.48,normal
5.38,81.0,204.29,1.05,normal
4.14,72.03,178.74,0.21,normal
5.12,73.24,334.18,0.24,normal
4.01,81.63,309.02,0.84,normal
5.81,81.92,292.51,1.05,normal
3.67,83.32,173.31,0.2,normal
3.39,78.82,177.8,0.66,normal
5.05,71.84,996.93,0.04,abnormal
2.89,82.14,178.47,0.34,normal
2.52,66.57,288.16,1.18,normal
5.1,80.15,158.5,0.16,normal
4.05,66.19,173.78,0.38,normal
4.67,80.09,306.47,1.38,normal
5.6,68.7,220.31,0.14,normal
5.8,93.48,182.11,0.75,abnormal
2.97,76.4,169.82,0.87,normal
2.87,68.83,206.37,1.35,normal
5.89,66.97,192.8,0.76,normal
3.47,76.79,237.93,1.44,normal
3.42,72.59,192.85,0.34,normal
5.94,67.47,172.06,0.2,normal
4.82,76.14,158.12,0.49,normal
3.13,77.01,212.4,1.46,normal
4.22,70.81,321.07,0.28,normal
5.36,74.51,285.83,0.27,normal
4.69,42.93,254.53,1.01,abnormal
3.58,78.9,345.51,1.11,normal
-1.81,84.5,217.73,0.89,abnormal
9.63,73.49,249.82,1.15,abnormal
4.37,80.13,310.2,1.41,normal
4.67,84.0,347.5,0.77,normal
3.82,67.44,247.87,0.35,normal
8.7,66.06,163.65,1.02,abnormal
4.42,41.54,210.55,0.93,abnormal
4.64,75.4,248.44,0.7,normal
3.99,75.1,258.49,1.21,normal
2.07,80.28,348.14,1.32,normal
3.8,82.06,238.51,0.05,normal
4.64,80.59,326.94,0.25,normal
3.25,72.78,302.8,0.85,normal
4.22,75.79,243.96,0.84,normal
2.22,70.27,268.21,0.57,normal
5.07,70.69,162.28,0.89,normal
3.47,81.19,266.79,1.15,normal
3.52,73.56,348.39,0.62,normal
2.98,69.69,212.42,0.13,normal
5.48,67.29,183.96,0.81,normal
4.63,73.45,252.95,0.63,normal
3.88,65.44,213.3,0.86,normal
2.39,74.77,288.17,0.31,normal
5.25,78.35,183.33,0.45,normal
-0.51,81.95,307.43,1.26,abnormal
3.15,65.95,349.25,0.6,normal
4.97,66.84,318.84,0.14,normal
2.27,81.02,245.05,0.31,normal
4.61,71.04,310.83,0.65,normal
2.8,73.05,274.99,0.68,normal
2.72,65.37,290.67,1.29,normal
2.85,84.24,298.44,0.7,normal
5.24,82.06,1134.79,1.4,abnormal
2.24,69.01,242.5,0.36,normal
5.06,81.88,232.05,1.29,normal
2.81,73.25,314.74,6.23,abnormal
4.4,73.12,172.71,0.29,normal
5.31,74.28,261.97,0.65,normal
2.15,68.19,177.29,0.39,normal
4.63,68.52,320.5,1.45,normal
2.08,82.19,166.79,0.9,normal
5.59,48.43,327.14,0.6,abnormal
-1.29,76.42,250.05,0.18,abnormal
4.32,80.5,255.05,0.74,normal
4.4,80.46,212.68,1.25,normal
5.22,79.88,337.1,0.33,normal
2.86,70.49,231.68,1.29,normal
4.13,78.99,172.59,0.82,normal
2.99,70.55,306.85,0.22,normal
3.47,71.16,279.08,1.36,normal
4.96,80.98,160.93,1.38,normal
3.01,72.69,277.79,1.05,normal
2.49,82.34,321.53,4.94,abnormal
5.71,53.36,210.18,1.4,abnormal
3.19,82.19,182.05,0.66,normal
5.25,77.89,307.86,0.41,normal
5.12,74.83,297.39,1.39,normal
3.69,83.37,170.08,0.24,normal
2.27,73.42,295.85,0.82,normal
4.78,80.24,278.27,0.28,normal
4.56,65.06,190.02,0.46,normal
2.44,69.99,292.71,1.15,normal
2.52,76.88,232.06,1.41,normal
5.49,67.67,184.7,0.89,normal
3.13,66.69,223.52,0.59,normal
5.34,76.41,154.15,0.03,normal
4.45,69.57,167.8,0.69,normal
5.41,66.0,273.6,0.9,normal
5.83,68.4,263.45,0.02,normal
5.09,83.57,315.45,0.74,normal
2.81,83.92,312.68,0.4,normal
3.53,73.63,191.32,0.32,normal
4.71,73.37,231.7,3.73,abnormal
3.05,77.35,331.47,0.55,normal
3.83,65.21,176.64,0.48,normal
4.75,79.27,291.69,1.1,normal
2.38,66.18,216.57,0.35,normal
5.76,84.34,918.76,1.12,abnormal
3.01,77.39,210.5,0.59,normal
5.87,76.19,266.1,0.39,normal
5.72,82.56,176.38,0.48,normal
2.57,67.34,158.83,0.19,normal
4.99,99.26,206.59,1.32,abnormal
5.05,70.28,212.6,1.34,normal
5.98,80.27,180.25,1.28,normal
5.19,66.06,179.72,0.34,normal
3.04,79.12,237.29,1.49,normal
11.09,84.78,262.17,0.69,abnormal
4.88,67.96,219.92,0.31,normal
5.34,80.0,314.51,0.84,normal
2.85,84.96,150.83,1.15,normal
5.68,69.92,249.62,0.14,normal
3.14,84.63,174.4,0.56,normal
13.86,68.08,166.21,1.25,abnormal
3.82,84.1,268.84,0.01,normal
4.49,74.06,339.48,8.0,abnormal
2.52,82.27,1061.09,0.42,abnormal
4.98,75.94,270.46,0.14,normal
2.96,80.42,229.78,0.03,normal
3.55,73.05,279.43,1.43,normal
3.19,81.02,297.18,1.38,normal
2.53,78.31,1082.44,0.77,abnormal
5.54,74.53,262.61,0.63,normal
5.24,77.28,236.82,0.64,normal
3.37,74.27,194.85,1.03,normal
3.98,77.59,254.94,0.44,normal
5.63,74.55,179.72,0.19,normal
-0.43,70.91,159.55,0.11,abnormal
2.43,73.5,168.9,0.99,normal
3.01,70.1,166.35,0.76,normal
4.65,68.59,186.44,0.59,normal
5.51,70.95,267.44,0.68,normal
4.5,70.3,343.34,1.31,normal
2.74,79.94,270.81,1.31,normal
4.14,65.12,173.34,0.26,normal
4.77,82.38,343.16,0.9,normal
4.47,84.48,222.15,1.01,normal
3.58,71.05,175.02,0.02,normal
2.06,84.41,321.8,0.31,normal
4.6,73.72,275.21,1.19,normal
3.2,74.27,244.8,0.03,normal
2.61,79.05,342.77,0.71,normal
2.97,70.9,1080.62,0.59,abnormal
2.41,81.95,236.36,0.62,normal
4.31,79.62,349.81,0.06,normal
4.05,79.49,337.06,1.36,normal
0.14,75.57,234.4,0.47,abnormal
5.57,73.34,244.67,0.74,normal
3.79,94.36,182.27,1.09,abnormal
3.75,75.15,267.53,1.03,normal
4.63,67.62,208.68,6.56,abnormal
4.61,72.21,244.46,7.85,abnormal
2.83,78.81,167.24,0.72,normal
2.63,74.84,308.7,1.41,normal
2.94,76.14,349.85,0.54,normal
4.71,68.49,321.89,0.76,normal
3.35,67.28,195.34,0.84,normal
5.97,80.7,303.87,1.16,normal
5.59,82.07,324.74,0.91,normal
2.2,83.93,309.8,1.44,normal
5.9,80.63,271.93,1.29,normal
4.25,75.15,183.41,0.18,normal
3.45,79.57,291.63,1.14,normal
5.48,68.09,222.75,1.23,normal
2.81,84.39,303.84,0.01,normal
3.37,45.1,167.05,0.56,abnormal
3.44,78.3,180.32,1.13,normal
2.91,81.04,232.68,0.61,normal
5.41,80.89,222.35,0.04,normal
2.04,81.12,338.73,0.13,normal
5.93,68.29,162.29,1.14,normal
4.57,83.05,161.56,0.95,normal
4.64,75.4,209.14,0.6,normal
4.21,71.09,298.54,1.36,normal
3.12,75.56,334.09,1.05,normal
2.82,75.89,307.67,0.98,normal
5.55,80.63,230.9,0.3,normal
2.15,71.69,295.02,1.11,normal
5.97,70.68,168.56,0.83,normal
5.03,68.2,155.58,1.19,normal
2.97,80.48,295.3,1.48,normal
2.24,72.46,275.4,0.53,normal
4.6,67.49,209.59,1.11,normal
5.93,81.11,347.8,0.85,normal
4.66,81.89,196.77,4.5,abnormal
5.26,76.46,177.99,0.57,normal
2.42,75.33,188.51,1.17,normal
2.59,73.51,232.41,0.14,normal
2.52,69.3,165.61,1.02,normal
4.24,80.58,324.4,0.88,normal
5.99,78.78,339.56,1.1,normal
2.65,75.12,246.95,0.69,normal
5.45,67.36,648.85,0.71,abnormal
5.78,72.39,340.36,0.9,normal
2.48,76.44,158.06,0.23,normal
5.96,71.07,247.19,1.19,normal
4.36,65.97,328.85,1.33,normal
5.28,74.78,174.47,0.52,normal
3.92,41.19,240.47,0.51,abnormal
5.34,81.67,176.56,0.21,normal
5.05,78.34,179.8,1.09,normal
4.5,77.47,227.45,1.35,normal
2.18,78.41,238.62,0.42,normal
2.66,65.5,276.02,1.16,normal
4.58,77.88,167.03,1.43,normal
5.03,84.15,254.35,1.13,normal
2.07,78.17,256.37,1.44,normal
2.82,81.59,317.78,0.87,normal
4.13,71.41,267.78,0.74,normal
3.75,94.15,321.93,0.48,abnormal
2.46,66.99,183.63,0.22,normal
2.36,71.14,231.46,0.25,normal
3.3,65.54,161.7,0.58,normal
3.65,71.48,225.1,1.24,normal
2.81,80.04,267.21,0.74,normal
3.54,67.3,162.13,0.7,normal
3.94,73.15,196.75,1.33,normal
5.85,78.5,199.26,0.83,normal
3.22,73.13,166.78,0.95,normal
5.87,72.47,347.06,1.17,normal
3.7,83.23,240.35,0.0,normal
5.32,70.78,344.42,0.0,normal
3.09,40.02,286.0,1.5,abnormal
-0.24,75.21,159.1,1.11,abnormal
3.2,72.91,174.6,0.21,normal
3.12,73.64,272.09,1.44,normal
4.73,71.85,202.27,1.13,normal
2.98,84.66,218.33,0.69,normal
2.06,78.84,279.29,0.0,normal
5.61,78.45,232.63,1.34,normal
5.05,75.76,307.46,0.97,normal
2.12,81.64,284.32,1.01,normal
5.25,81.55,221.59,0.27,normal
4.79,65.17,242.54,1.4,normal
2.89,65.4,206.23,1.38,normal
2.36,77.27,210.64,1.08,normal
3.98,72.26,206.15,1.36,normal
2.84,68.92,314.22,0.59,normal
4.0,68.41,635.64,1.11,abnormal
4.41,68.51,267.63,1.12,normal
5.73,82.11,326.2,1.09,normal
5.39,65.46,343.96,1.02,normal
4.72,82.66,150.39,0.64,normal
4.6,82.08,214.6,1.27,normal
2.49,75.37,249.11,0.78,normal
4.88,65.94,333.68,0.8,normal
3.57,71.69,326.02,1.21,normal
0.93,73.48,164.89,0.37,abnormal
3.24,77.52,169.35,0.72,normal
4.37,77.53,216.86,0.38,normal
2.95,71.82,160.89,0.5,normal
5.77,80.51,273.91,1.15,normal
4.32,66.71,162.14,0.05,normal
5.39,66.3,175.51,1.38,normal
3.21,77.52,163.16,1.02,normal
3.18,72.63,169.17,1.13,normal
4.4,78.19,152.12,0.58,normal
5.52,77.38,217.92,1.41,normal
3.82,71.56,188.5,0.15,normal
